S.no1,tweet_id,created_at,screen_name,name,user_description,followers_count,text,location,coordinates,geo,iso_language_code,retweet_count,favorite_count,user_created_at,entities,verified,tweet_source,in_reply_to_status_id_str,in_reply_to_user_id_str
84,1.31164E+18,10/1/2020 11:59,ppremcb,Prem,Andhraite,35,RT @mygovindia: Activities to Re-open in #Unlock5 outside Containment Zones after 15 October. #IndiaFightsCorona https://t.co/dbU1ovECdV,Eluru,,,en,15,0,Sun Dec 22 09:13:26 +0000 2013,"{'hashtags': [{'text': 'Unlock5', 'indices': [41, 49]}, {'text': 'IndiaFightsCorona', 'indices': [94, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311636297329471488, 'id_str': '1311636297329471488', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'url': 'https://t.co/dbU1ovECdV', 'display_url': 'pic.twitter.com/dbU1ovECdV', 'expanded_url': 'https://twitter.com/mygovindia/status/1311636491303481346/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311636491303481346, 'source_status_id_str': '1311636491303481346', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",FALSE,Twitter Web App,,
85,1.31164E+18,10/1/2020 11:58,Deepeshupadhyay,🇮🇳दीपेश उपाध्याय 🚩,क्या हार में क्या जीत में किंचित नहीं भयभीत मैं संधर्ष पथ पर जो भी मिले यह भी सही वह भी सही !!!!! #जयजय_श्रीराम 🚩🚩🚩🚩🚩,140,RT @mygovindia: Activities to Re-open in #Unlock5 outside Containment Zones after 15 October. #IndiaFightsCorona https://t.co/dbU1ovECdV,"Ayodhya, India",,,en,15,0,Fri Apr 22 14:03:18 +0000 2011,"{'hashtags': [{'text': 'Unlock5', 'indices': [41, 49]}, {'text': 'IndiaFightsCorona', 'indices': [94, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311636297329471488, 'id_str': '1311636297329471488', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'url': 'https://t.co/dbU1ovECdV', 'display_url': 'pic.twitter.com/dbU1ovECdV', 'expanded_url': 'https://twitter.com/mygovindia/status/1311636491303481346/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311636491303481346, 'source_status_id_str': '1311636491303481346', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",FALSE,Twitter for iPhone,,
86,1.31164E+18,10/1/2020 11:58,PIB_India,PIB India,Press Information Bureau. Nodal agency for communicating to media on behalf of #Government of #India. In Hindi: @pibhindi For Fact Check: @PIBFactCheck,2155625,RT @mygovindia: Activities to Re-open in #Unlock5 outside Containment Zones after 15 October. #IndiaFightsCorona https://t.co/dbU1ovECdV,New Delhi,,,en,15,0,Mon Dec 27 11:55:36 +0000 2010,"{'hashtags': [{'text': 'Unlock5', 'indices': [41, 49]}, {'text': 'IndiaFightsCorona', 'indices': [94, 112]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mygovindia', 'name': 'MyGovIndia', 'id': 2686834802, 'id_str': '2686834802', 'indices': [3, 14]}], 'urls': [], 'media': [{'id': 1311636297329471488, 'id_str': '1311636297329471488', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'url': 'https://t.co/dbU1ovECdV', 'display_url': 'pic.twitter.com/dbU1ovECdV', 'expanded_url': 'https://twitter.com/mygovindia/status/1311636491303481346/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}, 'source_status_id': 1311636491303481346, 'source_status_id_str': '1311636491303481346', 'source_user_id': 2686834802, 'source_user_id_str': '2686834802'}]}",TRUE,Twitter Web App,,
87,1.31164E+18,10/1/2020 11:58,PIBRaipur,PIB in Chhattisgarh,"Official Twitter account of Press Information Bureau @PIB_India, Ministry of I&B @MIB_India, Government of India, Raipur, Chhattisgarh",4133,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Keep Calm and Mask On 😷

Don't share your mask with others.

#StaySafe #IndiaWillWin https://t.co/…","Raipur, India",,,en,7,0,Mon Aug 28 10:23:51 +0000 2017,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'StaySafe', 'indices': [102, 111]}, {'text': 'IndiaWillWin', 'indices': [112, 125]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",TRUE,Twitter for Android,,
88,1.31164E+18,10/1/2020 11:58,mygovindia,MyGovIndia,"Citizen engagement platform of Government of India, giving people the opportunity to work towards Surajya with their ideas & grass root level contribution.",2232354,Activities to Re-open in #Unlock5 outside Containment Zones after 15 October. #IndiaFightsCorona https://t.co/dbU1ovECdV,New Delhi,,,en,15,57,Mon Jul 28 06:57:18 +0000 2014,"{'hashtags': [{'text': 'Unlock5', 'indices': [25, 33]}, {'text': 'IndiaFightsCorona', 'indices': [78, 96]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311636297329471488, 'id_str': '1311636297329471488', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EjPeQ1jU8AAHi06.jpg', 'url': 'https://t.co/dbU1ovECdV', 'display_url': 'pic.twitter.com/dbU1ovECdV', 'expanded_url': 'https://twitter.com/mygovindia/status/1311636491303481346/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1037, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1250, 'resize': 'fit'}}}]}",TRUE,Twitter Web App,,
89,1.31164E+18,10/1/2020 11:57,ProAssam,PRO Defence Tezpur (Assam/Arunachal Pradesh),"This is the official twitter handle of the Public Relations Officer, Tezpur. Following and retweeting does not constitute endorsement.",7009,"RT @MoHFW_INDIA: #IndiaFightsCorona

India's Centre-led strategies of enhanced infrastructure,  agressive and easily accessible country-wid…","Tezpur, Assam, India",,,en,75,0,Fri Feb 23 11:48:57 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",TRUE,Twitter Web App,,
90,1.31164E+18,10/1/2020 11:57,ProAssam,PRO Defence Tezpur (Assam/Arunachal Pradesh),"This is the official twitter handle of the Public Relations Officer, Tezpur. Following and retweeting does not constitute endorsement.",7009,"RT @MoHFW_INDIA: #IndiaFightsCorona

Be safe, wherever you go.  

#BadalkarApnaVyavaharKareinCoronaParVaar #TogetherAgainstCovid19 https://…","Tezpur, Assam, India",,,en,43,0,Fri Feb 23 11:48:57 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}, {'text': 'BadalkarApnaVyavaharKareinCoronaParVaar', 'indices': [66, 106]}, {'text': 'TogetherAgainstCovid19', 'indices': [107, 130]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",TRUE,Twitter Web App,,
91,1.31164E+18,10/1/2020 11:57,ProAssam,PRO Defence Tezpur (Assam/Arunachal Pradesh),"This is the official twitter handle of the Public Relations Officer, Tezpur. Following and retweeting does not constitute endorsement.",7009,"RT @MoHFW_INDIA: #IndiaFightsCorona

Maintain a good work-life balance. For psychosocial support call NIMHANS (toll free) helpline #080-461…","Tezpur, Assam, India",,,en,70,0,Fri Feb 23 11:48:57 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",TRUE,Twitter Web App,,
92,1.31164E+18,10/1/2020 11:57,ProAssam,PRO Defence Tezpur (Assam/Arunachal Pradesh),"This is the official twitter handle of the Public Relations Officer, Tezpur. Following and retweeting does not constitute endorsement.",7009,"RT @MoHFW_INDIA: #IndiaFightsCorona

India sustains trend of consistent low level of Active Cases.

For the 10th successive day, Active Cas…","Tezpur, Assam, India",,,en,20,0,Fri Feb 23 11:48:57 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",TRUE,Twitter Web App,,
93,1.31164E+18,10/1/2020 11:57,ProAssam,PRO Defence Tezpur (Assam/Arunachal Pradesh),"This is the official twitter handle of the Public Relations Officer, Tezpur. Following and retweeting does not constitute endorsement.",7009,"RT @MoHFW_INDIA: #IndiaFightsCorona

A total of  86,821 new confirmed cases have been reported in the last 24 hours.

76% of the new cases…","Tezpur, Assam, India",,,en,16,0,Fri Feb 23 11:48:57 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",TRUE,Twitter Web App,,
94,1.31164E+18,10/1/2020 11:57,ProAssam,PRO Defence Tezpur (Assam/Arunachal Pradesh),"This is the official twitter handle of the Public Relations Officer, Tezpur. Following and retweeting does not constitute endorsement.",7009,"RT @MoHFW_INDIA: #IndiaFightsCorona

1,181 deaths  have been registered in the past 24 hours.

82% of these are from 10 States and UTs. htt…","Tezpur, Assam, India",,,en,13,0,Fri Feb 23 11:48:57 +0000 2018,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",TRUE,Twitter Web App,,
95,1.31164E+18,10/1/2020 11:55,PIBKolkata,PIB in West Bengal,"Official Twitter account of Press Information Bureau, West Bengal, Kolkata, Government of India",7238,"RT @PIB_India: #CoronaWatch

◾ 63,12,584 total confirmed cases
◾ 52,73,201 cases cured/recovered 
◾ 7,56,19,781 samples tested 

Here's the…","Kolkata, India",,,en,27,0,Mon Aug 03 11:56:48 +0000 2015,"{'hashtags': [{'text': 'CoronaWatch', 'indices': [15, 27]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PIB_India', 'name': 'PIB India', 'id': 231033118, 'id_str': '231033118', 'indices': [3, 13]}], 'urls': []}",TRUE,Twitter Web App,,
96,1.31163E+18,10/1/2020 11:51,kipzs,Mrs Kripanidhi Sharma,"NRI🇮🇳Msc,Bsc,Dubliner,Happy&Healthy,elite,Vegan,Irish🇮🇪resident,,42 straight married woman,dignified,influencer🌎,Hindu wife,EU🇪🇺mom!",628,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

Physical Distancing is important to prevent the spread of #COVID19. 

Avoid large gatherings &amp; ma…",Ireland,,,en,5,0,Fri Apr 22 00:17:24 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19', 'indices': [100, 108]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for iPhone,,
97,1.31163E+18,10/1/2020 11:51,kipzs,Mrs Kripanidhi Sharma,"NRI🇮🇳Msc,Bsc,Dubliner,Happy&Healthy,elite,Vegan,Irish🇮🇪resident,,42 straight married woman,dignified,influencer🌎,Hindu wife,EU🇪🇺mom!",628,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

📍Guidelines for Care-Givers 👇

➡️Avoid direct contact with body fluids of the patient 
➡️Use disp…",Ireland,,,en,9,0,Fri Apr 22 00:17:24 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for iPhone,,
98,1.31163E+18,10/1/2020 11:51,kipzs,Mrs Kripanidhi Sharma,"NRI🇮🇳Msc,Bsc,Dubliner,Happy&Healthy,elite,Vegan,Irish🇮🇪resident,,42 straight married woman,dignified,influencer🌎,Hindu wife,EU🇪🇺mom!",628,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Keep Calm and Mask On 😷

Don't share your mask with others.

#StaySafe #IndiaWillWin https://t.co/…",Ireland,,,en,7,0,Fri Apr 22 00:17:24 +0000 2011,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'StaySafe', 'indices': [102, 111]}, {'text': 'IndiaWillWin', 'indices': [112, 125]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for iPhone,,
99,1.31163E+18,10/1/2020 11:49,lokeshn85,Lokesh.N,,139,"RT @stpiindia: #Startups need to reach a deeper understanding about their goals, aspirations, values&amp; vision for the organisation and focus…",Bangalore,,,en,184,0,Thu Apr 08 15:26:12 +0000 2010,"{'hashtags': [{'text': 'Startups', 'indices': [15, 24]}], 'symbols': [], 'user_mentions': [{'screen_name': 'stpiindia', 'name': 'STPI', 'id': 2713937910, 'id_str': '2713937910', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter Web App,,
100,1.31163E+18,10/1/2020 11:49,Theupdater_,COVID19 INDIA & OTHER,"Just a volunteer, providing updates across India within a minute just after concerned governments releases the data.",4338,"✳️ #Mizoram #Covid_19 | 5:00 PM report | 01 OCTOBER 2020

📌31 positives &amp; 41 recovery reported today till 5pm.

➡️T… https://t.co/s8kEsBy7ng",Turn on post Notifications🔔,,,en,0,5,Sat May 30 08:40:55 +0000 2020,"{'hashtags': [{'text': 'Mizoram', 'indices': [3, 11]}, {'text': 'Covid_19', 'indices': [12, 21]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/s8kEsBy7ng', 'expanded_url': 'https://twitter.com/i/web/status/1311634353105952769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",FALSE,Twitter for Android,,
101,1.31163E+18,10/1/2020 11:48,i_anagh,ANAGH MAVANI,Be Indian and human 1st #BoycottChineseProducts & #apps #BoycottChina #LetsFollowAAPian 💯% fb🔙no DM and no hatred or foul tweet. https://t.co/BNsLNhYYnX,1059,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Keep Calm and Mask On 😷

Don't share your mask with others.

#StaySafe #IndiaWillWin https://t.co/…",Mumbai,,,en,7,0,Fri May 14 17:32:01 +0000 2010,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'StaySafe', 'indices': [102, 111]}, {'text': 'IndiaWillWin', 'indices': [112, 125]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter Web App,,
102,1.31163E+18,10/1/2020 11:47,AnilP18101729,ANIL PARLI ( Anil P ),"https://t.co/lhRnAu0muT
https://t.co/DCJv49sOvS",189,"RT @PIB_India: #CoronaWatch

◾ 63,12,584 total confirmed cases
◾ 52,73,201 cases cured/recovered 
◾ 7,56,19,781 samples tested 

Here's the…",680581,,,en,27,0,Sat Sep 15 05:08:28 +0000 2018,"{'hashtags': [{'text': 'CoronaWatch', 'indices': [15, 27]}], 'symbols': [], 'user_mentions': [{'screen_name': 'PIB_India', 'name': 'PIB India', 'id': 231033118, 'id_str': '231033118', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter for Android,,
103,1.31163E+18,10/1/2020 11:46,MIB_India,MIB India 🇮🇳 #StayHome #StaySafe,"This is the official twitter account of Ministry of Information and Broadcasting, Government of India. Follow 
@MIB_Hindi for tweets in Hindi.",1260451,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Keep Calm and Mask On 😷

Don't share your mask with others.

#StaySafe #IndiaWillWin https://t.co/…","New Delhi, India",,,en,7,0,Fri Nov 02 06:26:58 +0000 2012,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'StaySafe', 'indices': [102, 111]}, {'text': 'IndiaWillWin', 'indices': [112, 125]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",TRUE,Twitter Web App,,
104,1.31163E+18,10/1/2020 11:45,Gotya101,Gotya101,Perpetual student or a lazy bone. Take your pick.,1392,"RT @SatsangTweets: 𝗦𝗲𝘃𝗮 𝗮𝘁 𝗔𝗻𝗶𝗸𝗲𝘁 𝗮𝗻𝗱 𝗠𝗮𝗻𝗮𝘃𝘆𝗮 𝗚𝗼𝗸𝘂𝗹 𝗦𝗰𝗵𝗼𝗼𝗹, 𝗣𝘂𝗻𝗲 - 𝗥𝗼𝘂𝗻𝗱 𝟱
Distribution of #rationkits &amp; we got to purchase diyas made by t…",Qatar,,,en,3,0,Tue Aug 05 08:37:01 +0000 2008,"{'hashtags': [{'text': 'rationkits', 'indices': [91, 102]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SatsangTweets', 'name': 'TheSatsangFoundationOfficial', 'id': 2961938442, 'id_str': '2961938442', 'indices': [3, 17]}], 'urls': []}",FALSE,Twitter Web App,,
105,1.31163E+18,10/1/2020 11:45,DeepakPatrewal,Priyanshu Deepak Patrewal,⚔️🇮🇳 इंकलाब जिंदाबाद 🇮🇳⚔️,120,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

Keep Calm and Mask On 😷

Don't share your mask with others.

#StaySafe #IndiaWillWin https://t.co/…","Meerut, India",,,en,7,0,Sun Mar 08 08:39:43 +0000 2020,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'StaySafe', 'indices': [102, 111]}, {'text': 'IndiaWillWin', 'indices': [112, 125]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
106,1.31163E+18,10/1/2020 11:45,COVIDNewsByMIB,#IndiaFightsCorona,Official Government of India updates on #COVID19 by @MIB_India.,111706,"#IndiaFightsCorona:

Keep Calm and Mask On 😷

Don't share your mask with others.

#StaySafe #IndiaWillWin https://t.co/Tx5fzoI5rW",,,,en,7,20,Tue Mar 31 07:41:35 +0000 2020,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [0, 18]}, {'text': 'StaySafe', 'indices': [82, 91]}, {'text': 'IndiaWillWin', 'indices': [92, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1311633246891864070, 'id_str': '1311633246891864070', 'indices': [106, 129], 'media_url': 'http://pbs.twimg.com/media/EjPbfRyU8AYI4lz.png', 'media_url_https': 'https://pbs.twimg.com/media/EjPbfRyU8AYI4lz.png', 'url': 'https://t.co/Tx5fzoI5rW', 'display_url': 'pic.twitter.com/Tx5fzoI5rW', 'expanded_url': 'https://twitter.com/COVIDNewsByMIB/status/1311633269385949184/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}",TRUE,Twitter Web App,,
107,1.31163E+18,10/1/2020 11:44,lokeshn85,Lokesh.N,,139,RT @stpiindia: Celebrating small wins develops a positive culture of understanding the efforts of people and encouraging them to continue t…,Bangalore,,,en,175,0,Thu Apr 08 15:26:12 +0000 2010,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stpiindia', 'name': 'STPI', 'id': 2713937910, 'id_str': '2713937910', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter Web App,,
108,1.31163E+18,10/1/2020 11:44,tajbar17,tajbar singh,,13,"RT @stpiindia: As work from home trend is expanding across industries during #COVID19 pandemic, business leaders must think about reducing…",,,,en,155,0,Tue Dec 20 10:12:35 +0000 2016,"{'hashtags': [{'text': 'COVID19', 'indices': [77, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'stpiindia', 'name': 'STPI', 'id': 2713937910, 'id_str': '2713937910', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter Web App,,
109,1.31163E+18,10/1/2020 11:44,lokeshn85,Lokesh.N,,139,RT @stpiindia: Mentors are the people who can bring transformative changes in the life of a person or organisation in a significant way. #S…,Bangalore,,,en,178,0,Thu Apr 08 15:26:12 +0000 2010,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stpiindia', 'name': 'STPI', 'id': 2713937910, 'id_str': '2713937910', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter Web App,,
110,1.31163E+18,10/1/2020 11:43,Alby_0n,Aby Stalin,I am just here for the giveaways.,36,"RT @MoHFW_INDIA: #IndiaFightsCorona

A total of  86,821 new confirmed cases have been reported in the last 24 hours.

76% of the new cases…","Kerala, India",,,en,16,0,Mon Mar 25 15:30:45 +0000 2013,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [17, 35]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MoHFW_INDIA', 'name': 'Ministry of Health', 'id': 2596143056, 'id_str': '2596143056', 'indices': [3, 15]}], 'urls': []}",FALSE,Twitter for Android,,
111,1.31163E+18,10/1/2020 11:43,lokeshn85,Lokesh.N,,139,"RT @stpiindia: When #COVID19 pandemic continues to disrupt industries across the globe &amp; the modality of work culture, #startups should foc…",Bangalore,,,en,183,0,Thu Apr 08 15:26:12 +0000 2010,"{'hashtags': [{'text': 'COVID19', 'indices': [20, 28]}, {'text': 'startups', 'indices': [123, 132]}], 'symbols': [], 'user_mentions': [{'screen_name': 'stpiindia', 'name': 'STPI', 'id': 2713937910, 'id_str': '2713937910', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter Web App,,
112,1.31163E+18,10/1/2020 11:42,satadru2010,Satadru Ghosal,stock market n  movie buff.. current affairs.. voracious reader,277,"RT @COVIDNewsByMIB: #IndiaFightsCorona: 

📍Guidelines for Care-Givers 👇

➡️Avoid direct contact with body fluids of the patient 
➡️Use disp…",Kolkata,,,en,9,0,Wed Mar 17 13:07:50 +0000 2010,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
113,1.31163E+18,10/1/2020 11:42,lokeshn85,Lokesh.N,,139,"RT @stpiindia: As digitisation &amp; automation have become the trend of the day, business leaders should explore which processes should be aut…",Bangalore,,,en,127,0,Thu Apr 08 15:26:12 +0000 2010,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'stpiindia', 'name': 'STPI', 'id': 2713937910, 'id_str': '2713937910', 'indices': [3, 13]}], 'urls': []}",FALSE,Twitter Web App,,
114,1.31163E+18,10/1/2020 11:40,ShubhraPashine,Shubhra Pashine,Learning and Growing.,0,"RT @COVIDNewsByMIB: #IndiaFightsCorona:

📍Points to remember while buying essentials during #COVID19 

➡️Carry your own shopping bag
➡️Use…",,,,en,10,0,Sat Aug 01 07:03:03 +0000 2020,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [20, 38]}, {'text': 'COVID19', 'indices': [92, 100]}], 'symbols': [], 'user_mentions': [{'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [3, 18]}], 'urls': []}",FALSE,Twitter for Android,,
115,1.31163E+18,10/1/2020 11:38,PIBShillong,PIB In Meghalaya,"Official Twitter account of Press Information Bureau, Government of India, Shillong, Meghalaya.",3753,"#CoronaWatch 

✳️63,12,584 Total Confirmed Cases 
✳️52,73,201 Cases Recovered
✳️7,56,19,781 Samples tested 

Here's… https://t.co/j5lIToaPDU","शिलाँग, भारत",,,en,0,0,Tue Aug 09 11:10:54 +0000 2016,"{'hashtags': [{'text': 'CoronaWatch', 'indices': [0, 12]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/j5lIToaPDU', 'expanded_url': 'https://twitter.com/i/web/status/1311631473972178944', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",TRUE,Twitter Web App,,
116,1.31163E+18,10/1/2020 11:37,rahulnagda,rahul nagda,,38,"ARE WE DISPOSING MASK SAFELY? 
Watch the video in Hindi to find out
https://t.co/7eWH8h43No

#IndiaFightsCorona… https://t.co/R0DkZHEu2C",tiruppur,,,en,0,0,Wed Jul 29 10:57:39 +0000 2009,"{'hashtags': [{'text': 'IndiaFightsCorona', 'indices': [93, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7eWH8h43No', 'expanded_url': 'https://youtu.be/-U6r8Jv7UmE', 'display_url': 'youtu.be/-U6r8Jv7UmE', 'indices': [68, 91]}, {'url': 'https://t.co/R0DkZHEu2C', 'expanded_url': 'https://twitter.com/i/web/status/1311631426178093056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",FALSE,Twitter for Android,,
